1	1	Why is the gravitational attraction between you and your computer too small for you to notice?	Neither you nor your computer has enough mass to cause a noticable gravitational attraction	You and your computer are too close for the gravitational attraction to be significant	Humans are too small to detect the force of gravity	The gravitational attraction between you and your computer is disrupted by the larger gravitational field generated by the earth
2	1	Which of the following is an example of the Weak Interaction?	A neutron in a radioactive Cesium atom is converted into a proton, leading to the release of a few particles	Light from the sun collides with a satellite orbiting Earth and exerts a small push on the satellite	Two protons bound together in a Helium nucleus resist separation despite a repulsive electromagnetic force acting on them	A distant galaxy exerts a small but detectable gravitational pull on the  Earth
3	1	Roughly how many times stronger is the Weak Interaction than gravity?	10,000,000,000,000,000,000,000,000	10	1,000,000	The Weak Interaction is less strong than gravity
4	1	Why don't you and your computer experience any attraction or repulsion due to the Weak Interaction?	The weak interaction only acts over extremely small distances	The weak interaction between you and your computer is counteracted by the other forces	You and your computer have no net charge	Neither you nor your computer has enough mass to induce a significant Weak Interaction
5	1	Which of the following is a difference between gravity and the electromagnetic force?	Gravity is only ever attractive while the electromagnetic force can both attract and repel	Gravity is a much more powerful force than electromagnetism	Gravity can only act over large distances while the electromagnetic force can act over large and small distances	The electromagnetic force can only act over small distances while gravity can act over small or large distances
6	1	Electricity and magnetism can be shown to be two cases of the same force if we:	View them in different frames of reference	Switch which charges we call positive and which charges we call negative	Consider both the effects over small distances and the effects over large distances	Consider both the attractive and repulsive properties of the two forces
7	1	Which of the following are the primary two fundamental forces acting in opposition between the positively-charged protons in an atom's nucleus?	The Strong Force and the Electromagnetic Force	Gravity and the Weak Interaction	Gravity and the Electromagnetic Force	The Strong Force and the Weak Interaction
8	1	Why does the universe have a very uneven distribution of mass but a relatively equal distribution of charge?	Positive and negative charges cancel out and become a neutral charge when they combine while masses only grow larger as they combine	Masses tend to repel while charges tend to attract	Masses tend to attract while charges tend to repel	The gravitational interaction acting between masses is stronger than the electromagnetic interaction acting between charges
9	1	In your body, there are a tremendous amount of negatively-charged electrons. Your computer also contains a huge number of negatively-charged electrons. We know that like charges repel, but you and your computer are not repelled apart. Which of the following explains why?	The electrons' negative charges are balanced by the positive charges of an equal number of protons	An attractive gravitational force balances out this repulsion	The electromagnetic force only acts over very small distances	The Electromagnetic force only acts over very large distances
10	1	Which of the following is a similarity between the Weak Interaction and the Strong Force?	Both act only over very small distances	Both are stronger than the Electromagnetic force	Both are weaker than Gravity	Both are responsible for attractions between distant galaxies
11	1	Which force is stronger than the Electromagnetic Force?	Strong Force	Gravity	Weak Interaction	Electromagnetic Force is the strongest
12	1	Roughly how many times stronger is the Strong Force than gravity?	10^38	100	10^18	The Strong Force is weaker than gravity
13	1	Which of the following would have to be true for the Weak Interaction to cause repulsion or attraction between two objects?	The objects would have to be extremely close to each other	The objects would have to have the same mass	The objects would have to be extremely far away from each other	The objects would have to have different masses
14	1	Which force keeps us from jumping off of Earth?	Gravity	Strong Force	Weak Interaction	Electromagnetic Force
15	1	What does the Coulomb Force refer to?	The repulsion of objects with similar charge and the attraction of objects with different charge	The repulsion of objects with similar mass and the attraction of objects with different mass	The repulsion of objects with similar temperature and the attraction of objects with different temperature	The repulsion of objects with similar density and the attraction of objects with different density
16	2	Which of the following describes the effect of gravity on a cloud of atoms?	The atoms move to the center of the mass of the atoms	The atoms move away from the center of the mass of the atoms	The atoms spin around the center of the mass of the atoms	Gravity has no effect on a cloud of atoms
17	2	Which of the following occurs as a cloud of atoms gets more dense?	Temperature increases	Temperature decreases	Mass increases	Mass decreases
18	2	Which temperature does a cloud of hydrogen atoms approach as it gets denser in the process of becoming a star?	10 Million Kelvin	0 Kelvin	10,000 Kelvin	10 Billion Kelvin
